Country,Year,Gender,Metric,Value
Guinea-Bissau,2015,Male,Employment to population ratio,61.751
Guinea-Bissau,2015,Female,Labour Force Participation Rate,48.752
Guinea-Bissau,2015,Male,Labour Force Participation Rate,64.093
Guinea-Bissau,2015,Female,Vulnerable Employment,79.71459358
Guinea-Bissau,2015,Male,Vulnerable Employment,61.33161394
Guyana,2015,Female,Employment to population ratio,34.376
Guyana,2015,Male,Employment to population ratio,61.149
Guyana,2015,Female,Labour Force Participation Rate,40.855
Guyana,2015,Male,Labour Force Participation Rate,69.232
Guyana,2015,Female,Vulnerable Employment,32.89814438
Guyana,2015,Male,Vulnerable Employment,28.01085742
Haiti,2015,Female,Employment to population ratio,51.633
Haiti,2015,Male,Employment to population ratio,62.265
Haiti,2015,Female,Labour Force Participation Rate,61.955
Haiti,2015,Male,Labour Force Participation Rate,69.989
Haiti,2015,Female,Vulnerable Employment,83.01481033
Haiti,2015,Male,Vulnerable Employment,66.34260943
Honduras,2015,Female,Employment to population ratio,42.305
Honduras,2015,Male,Employment to population ratio,77.832
Honduras,2015,Female,Labour Force Participation Rate,46.493
Honduras,2015,Male,Labour Force Participation Rate,81.53
Honduras,2015,Female,Part Time Employment,45.24
Honduras,2015,Male,Part Time Employment,36.88
Honduras,2015,Female,Vulnerable Employment,51.91555247
Honduras,2015,Male,Vulnerable Employment,36.28179329
"Hong Kong SAR, China",2015,Female,Employment to population ratio,52.98
"Hong Kong SAR, China",2015,Male,Employment to population ratio,66.439
"Hong Kong SAR, China",2015,Female,Labour Force Participation Rate,54.719
"Hong Kong SAR, China",2015,Male,Labour Force Participation Rate,68.803
"Hong Kong SAR, China",2015,Female,Vulnerable Employment,3.91207276
"Hong Kong SAR, China",2015,Male,Vulnerable Employment,7.97550285
Hungary,2015,Female,Employment to population ratio,43.645
Hungary,2015,Male,Employment to population ratio,58.821
Hungary,2015,Female,Labour Force Participation Rate,46.95
Hungary,2015,Male,Labour Force Participation Rate,62.99
Hungary,2015,Female,Part Time Employment,26.53
Hungary,2015,Male,Part Time Employment,19.76
Hungary,2015,Female,Vulnerable Employment,6.271949459
Hungary,2015,Male,Vulnerable Employment,8.267670567
Iceland,2015,Female,Employment to population ratio,70.239
Iceland,2015,Male,Employment to population ratio,77.929
Iceland,2015,Female,Labour Force Participation Rate,73.207
Iceland,2015,Male,Labour Force Participation Rate,81.103
Iceland,2015,Female,Part Time Employment,47.93
Iceland,2015,Male,Part Time Employment,28.04
Iceland,2015,Female,Vulnerable Employment,7.546396644
Iceland,2015,Male,Vulnerable Employment,12.62335646
India,2015,Female,Employment to population ratio,24.812
India,2015,Male,Employment to population ratio,71.045
India,2015,Female,Labour Force Participation Rate,26.971
India,2015,Male,Labour Force Participation Rate,77.1
India,2015,Female,Vulnerable Employment,79.0008771
India,2015,Male,Vulnerable Employment,75.02944187
Indonesia,2015,Female,Employment to population ratio,48.487
Indonesia,2015,Male,Employment to population ratio,78.652
